标志,对话ID,人物ID,表情ID,名字,内容,跳转,出入场,效果
#,0,0,7,传书,……,1,In,Dumb Funk.wav|bi
#,1,0,7,传书,呼……花了一整天，终于找到合适的参数来适配人类设备了。,2,,
#,2,0,3,传书,还是多亏了朔望写的笔记……,3,,
#,3,0,7,传书,嗯，幸好物理性质跟普通咖啡豆没有什么区别，之前我最怕的就是这点……,4,,
#,4,0,7,传书,先把这两包咖啡<color=#FFCC00>放进柜子里</color>吧……现在，该把新品加进菜单了。,5,,
#,5,0,7,传书,魑魅SOE、凯撒拿铁……写好了。,6,,MarkerPen.wav|mb
#,6,1,3,旦夕,为啥要叫这个？,7,In,
#,7,0,7,传书,喔，因为魑魅不太适合和其他咖啡豆拼配，而且从包装上看似乎是赫密士某地的特产咖啡……,8,,
#,8,0,7,传书,不过我说了你也不懂吧？,9,,
#,9,1,4,旦夕,喂！,10,,
#,10,0,1,传书,嗯？等等……,11,,
#,11,0,3,传书,那边那个人，好像有点眼熟。,12,,
#,12,1,3,旦夕,谁啊？感觉没见过啊？,13,,
#,13,0,3,传书,好像不是什么好的印象……,14,,
#,14,0,6,传书,啊，想起来了。,15,,
#,15,0,6,传书,这不是通缉令上印的那个人吗！,16,,
#,16,0,3,传书,我昨天去银行的路上看见的。,17,,
#,17,1,6,旦夕,什、什么？通缉犯？！那我们岂不是完蛋了？,18,,
#,18,1,6,旦夕,而且，她是不是一直在朝这边看？,19,,
#,19,0,3,传书,冷、冷静，我们只要立刻报警就……,20,,
#,20,0,3,传书,……,21,,
#,21,0,4,传书,我们好像没法报警。,22,,
#,22,1,6,旦夕,那怎么办？等等，她是不是走过来了？,23,,
#,23,1,6,旦夕,快躲起来……,24,Tremble,
#,24,11,1,？？？,……不用这么紧张。,25,In,
#,25,11,1,？？？,看来你们已经在通缉令上看到过我了。,26,,
#,26,11,1,？？？,别太在意，现在处于某个特殊时期，这并不能代表我犯下了什么罪行。,27,,
#,27,0,3,传书,……,28,,
#,28,11,1,？？？,……,29,,
#,29,11,1,？？？,不相信我也可以，你可以不向我提供任何服务，我无所谓。,30,,
#,30,11,1,？？？,我只不过是看到这家店在出售某种饮料，所以……,31,,
#,31,11,3,？？？,总之，我没什么别的目的。,32,,
#,32,0,3,传书,……,33,,
