标志,对话ID,人物ID,表情ID,名字,内容,跳转,出入场,效果
#,0,,,,……,1,,Dumb Funk.wav|bi
#,1,,,,二月刚到第五天，好像天气变得轻松了一些，没有那么冷了。,2,,
#,2,,,,传书在准备好营业后，通常就站在柜台后望着傍晚的山林。,3,,
#,3,,,,黑暗的深处好像总是会带来一些麻烦，有时却只需倾听，有时只得旁观。,4,,
#,4,,,,也许这根本不算麻烦，也许真正的麻烦还未到来。,5,,
#,5,3,1,朔望,传书，一杯冰拿铁。,6,In,FootStep.wav|mb
#,6,0,2,传书,朔望啊，好的，稍等哦。,7,In,
$,7,8,,,,8,,
#,8,0,1,传书,做好了。不过，前两天好像没看到你到附近来？,9,,
#,9,3,2,朔望,是，临时有点别的任务，被调过去了。,10,,
#,10,0,7,传书,喔，是发生什么很严重的事了吗？,11,,
#,11,3,4,朔望,没有没有……不是什么特别的事。,12,,
#,12,3,5,朔望,对了传书，你的营业执照还有一个月左右就要过期了吧？,13,,
#,13,3,5,朔望,记得过期之前去卯时组再续约就行。,14,,
#,14,0,5,传书,啊，你不说我都忘了……,15,,
#,15,3,1,朔望,我记得你的营业执照有效期只有三年，已经算不太久的了。,16,,
#,16,3,5,朔望,其实一般来说有效期都是十年往上的。,17,,
#,17,3,5,朔望,当时给你开营业执照的工作人员应该是考虑到你是人类，特意把时间缩短了。,18,,
#,18,3,2,朔望,会忘也很正常，所以一般妖怪的店面在过期之前都会收到消息提醒。,19,,
#,19,3,2,朔望,但是你收不到，所以在下就亲自告诉你了。,20,,
#,20,0,4,传书,多谢……,21,,
#,21,0,7,传书,不过说到这个，就不能把我也加入<color=#FFCC00>妖怪档案库</color>里吗？,22,,
#,22,0,3,传书,我已经深刻体会到脱离妖怪网络的不便了……,23,,
#,23,3,2,朔望,这种事跟在下说也没用啊，在下倒是没啥意见啦。,24,,
#,24,3,1,朔望,本来，从原则上来说，让人类加入档案库是不合规矩的。,25,,
#,25,3,1,朔望,但因为也没有——或者说很少有人类能跟妖怪扯上联系。,26,,
#,26,3,1,朔望,所以其实也没人在意这些。,27,,
#,27,3,4,朔望,但是在下上次申请的时候，得到的答复是……呃，在操作流程上有问题。,28,,
#,28,3,4,朔望,所以估计也不是不乐意，而是根本没办法……,29,,
#,29,0,6,传书,啊，怎么会这样……,30,,
#,30,3,4,朔望,之前那个瓶中豆不是到这边来了吗，就算是他们那样，也是没法加入的。,31,,
#,31,3,3,朔望, 难道是人类缺少一些妖怪才有的特质吗？,32,,
#,32,1,3,旦夕,等等，那为啥我也不行，难不成我其实不是妖怪？,33,In,
#,33,3,1,朔望,不，你毫无疑问绝对是妖怪。,34,,
#,34,3,3,朔望,也有可能是跟你的失忆有关？这里面的原理我也不懂……,35,,
#,35,0,2,传书,哈，就算你能通过身份认证，你也用不了手机啊。,36,,
#,36,1,4,旦夕,你瞧不起我是吧？我早就不知道翻过你的手机多少回了！,37,,
#,37,0,1,传书,哦，那你好棒喔。,38,,
#,38,0,7,传书,不过我早就想问了，为什么你们都这么确定旦夕是妖怪？,39,,
#,39,0,7,传书,我在这待了这么久，还没见过跟它……形态类似的其他妖怪。,40,,
#,40,3,4,朔望,诶？这个啊，我想想怎么描述……,41,,
#,41,3,4,朔望,对于妖怪来说，是可以感受到其他妖怪发出的某种……力场？,42,,
#,42,3,4,朔望,就有点像是……看见一个人周围在发光，但其实既不是看见的，也不是光……,43,,
#,43,0,4,传书,你这么说，好像还挺好理解的？,44,,
#,44,0,2,传书,总之就是你们能一眼就看出谁是妖怪，谁不是妖怪，对吧？,45,,
#,45,3,5,朔望,简单来说就是这样了，旦夕应该也是一样。,46,,
#,46,1,6,旦夕,呃……没、没错。,47,,
