标志,对话ID,人物ID,表情ID,名字,内容,跳转,出入场,效果
#,0,0,1,传书,……,1,In,Dumb Funk.wav|bi
#,1,0,1,传书,唉……,2,,
#,2,1,3,旦夕,你最近叹气的频率怎么越来越高了？,3,,
#,3,0,1,传书,不知道啊。,4,,
#,4,0,1,传书,我甚至都不知道，我的心态已经从找出真相，变成了安安稳稳地生活就好。,5,,
#,5,0,1,传书,现在好不容易机会来了，我却有点想逃跑。,6,,
#,6,0,1,传书,三年……难道很久吗？还是我从一开始就没有那种决心……,7,,
#,7,1,3,旦夕,你又不跟我展开说细节，现在净抱怨这这那那的谁懂啊？,8,,
#,8,0,1,传书,就是因为你不懂才会跟你说啊。,9,,
#,9,1,3,旦夕,？,10,,
#,10,6,,？？？,<size=70%>(赫密士语)其实，你们没必要一起来……</size>,11,,
#,11,6,,？？？,<size=70%>(赫密士语)不行，布鲁伊，你和雷迪总是瞒着我做这做那的，我一定要跟着你们。</size>,12,,
#,12,6,,？？？,<size=70%>(赫密士语)不，我发誓我真的只是想来买杯咖啡，好吗？</size>,13,,
#,13,6,,？？？,<size=70%>(赫密士语)你上次不是说过这个人类很特殊？以防万一，我必须在你和维亚身边。</size>,14,,
#,14,6,,？？？,<size=70%>(赫密士语)是的，我的确这么说过，不过……并不代表她是个危险分子。</size>,15,,
#,15,0,3,传书,喂，旦夕，你有没有听到什么声音？,16,,
#,16,1,3,旦夕,啊、啊？我是不是又做梦了……？,17,,
#,17,6,,？？？,(赫密士语)噢，她发现我们了。,18,,
#,18,6,1,艾尔尼斯,咳咳，传书小姐。,19,In,
#,19,0,1,传书,啊，是三位瓶子先生。,20,,
#,20,6,1,艾尔尼斯,是的，是的。您的咖啡实在令我难以忘怀，所以……,21,,
#,21,0,2,传书,哈哈，我很高兴您这么说。,22,,
#,22,6,1,艾尔尼斯,请给我一杯冰美式吧。,23,,
#,23,0,2,传书,好的，请稍等。,24,,
$,24,3,,,,25,,
