标志,对话ID,人物ID,表情ID,名字,内容,跳转,出入场,效果
#,0,0,1,传书,旦夕，看下店，我去一趟银行。,1,In,Dumb Funk.wav|bi
#,1,1,1,旦夕,哦，锁门。,2,In,
#,2,0,3,传书,我知道。,3,,
#,3,0,1,传书,,4,Out,
#,4,1,5,旦夕,还以为啥事呢就叫醒我……,5,,DoorOpen.wav|mb
#,5,7,,？？？,……,6,,
#,6,1,3,旦夕,嗯？,7,,
#,7,7,,？？？,<size=70%>(未知语言)貌似还没什么进展。可惜。</size>,8,,
#,8,7,,？？？,<size=70%>(未知语言)你们先待在这里，你们知道该留意什么。</size>,9,,
#,9,1,3,旦夕,有谁在说话吗？,10,,
#,10,7,,？？？,<size=70%>(未知语言)直到她回来。</size>,11,,
#,11,7,,？？？,,12,Out,
#,12,1,3,旦夕,……嗯？,13,,
#,13,1,3,旦夕,我还没睡醒？,14,,
#,14,1,1,旦夕,算了。,15,,
#,15,,,,过了一段时间。,16,,
#,16,0,1,传书,我回来了——,17,In,DoorClose.wav|mb
#,17,1,5,旦夕,哦。,18,,
#,18,0,3,传书,今天汇率突然下跌了……我犹豫了好久要不要今天换钱。,19,,
#,19,0,3,传书,但我又总不能每天都去银行看一眼，所以干脆还是换了。,20,,
#,20,0,3,传书,没法用妖怪的信息媒体真不方便……,21,,
#,21,1,3,旦夕,不过银行里那个什么费尔德根本就不是迦莲人吧？真的信得过他吗？,22,,
#,22,0,1,传书,但他是官方指定的代理人啊，这都信不过，还能信谁？,23,,
#,23,0,3,传书,而且私自交易货币也是违法的……,24,,
#,24,0,1,传书,算了，其实也没多少损失。,25,,
#,25,0,1,传书,我走的时候有人来吗？,26,,
#,26,1,6,旦夕,呃，应该没有吧？,27,,
#,27,0,3,传书,应该？,28,,
#,28,1,6,旦夕,大概？,29,,
#,29,0,3,传书,你在说什么？,30,,
#,30,2,1,索骥,晚上好，传书。,31,In,FootStep.wav|mb
#,31,0,2,传书,啊，索骥先生，晚上好。,32,,
#,32,2,8,索骥,……,33,,
#,33,2,5,索骥,唉……,34,,
#,34,0,3,传书,您……,35,,
#,35,2,5,索骥,鄙人最终还是……让他们走了。,36,,
#,36,2,6,索骥,虽然辞职申请被正式批准还需要一段时间。,37,,
#,37,2,8,索骥,但也很快。很快他们就能离开这里了。,38,,
#,38,2,8,索骥,鄙人今天早上，听到了从他们房间里传来的欢呼声。,39,,
#,39,2,8,索骥,……,40,,
#,40,0,3,传书,索骥先生，我很抱歉……,41,,
#,41,2,1,索骥,不，传书，你不需要道歉。,42,,
#,42,2,1,索骥,是鄙人该向你道歉。,43,,
#,43,2,1,索骥,鄙人才发现，昨天那样郑重其事地说了那么多，却都不是自己的真心话。,44,,Slow Jazz Lounge.wav|bi
#,44,2,1,索骥,时间过得太久，鄙人轻易地就骗过了自己。,45,,
#,45,2,8,索骥,传书，你很敏锐，你马上就发现了这一点。,46,,
#,46,2,8,索骥,而你也没有马上点破，否则鄙人一定会再次为自己辩护，再次欺骗自己。,47,,
#,47,2,8,索骥,谢谢你，传书。,48,,
#,48,0,3,传书,可是……您看上去并不高兴。,49,,
#,49,2,5,索骥,……,50,,
#,50,2,5,索骥,但……会高兴的。,51,,
#,51,2,1,索骥,在未来某一天，收到他们的短信，说他们已经成功组建了自己的乐队，,52,,
#,52,2,1,索骥,在未来某一天，网络上听到他们创作的音乐，并被很多人所喜爱，,53,,
#,53,2,8,索骥,在未来，他们成功在音乐界做成一番事业，闻名于世时，,54,,
#,54,2,8,索骥,鄙人可以说，他们学会的第一种乐器，是鄙人教的。,55,,
#,55,2,1,索骥,所以，会高兴的。,56,,
#,56,0,5,传书,……,57,,
#,57,0,2,传书,您对他们很有信心。,58,,
#,58,2,8,索骥,哈哈……不如说没信心也得有信心了吧。,59,,
#,59,2,8,索骥,既然已经走了这一步，就不用再回头了。,60,,
#,60,1,1,旦夕,<size=70%>喂，传书，你看那边。</size>,61,,
#,61,0,5,传书,啊，他们是……,62,,
#,62,8,1,阿涟,<size=70%>你怎么不走了？</size>,63,In,
#,63,9,1,小榛,<size=70%>阿涟，你先走嘛……</size>,64,In,
#,64,2,1,索骥,嗯？,65,,
